사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
44409,3호선,65,녹번,10,2,8767,582,21380,3786,53794,6966,63722,16404,35148,9034,22069,8350,18400,9311,17971,10588,16347,10876,14531,12231,13405,14302,13291,20728,13757,28852,16449,52908,7678,44693,5951,24896,4996,22384,3422,17374,662,6795,0,21,0,0,0,0,0,0
44409,3호선,66,홍제,34,1,8305,1152,19932,8603,50534,9939,57761,19723,35713,15263,25055,14060,22805,14386,23564,15634,20979,16833,19436,18034,19467,22067,20436,25784,22263,33169,21405,54804,11452,43233,8751,23646,6987,21753,4339,16333,874,7071,1,2,0,0,0,0,0,0
44409,3호선,67,무악재,17,1,1625,256,4508,2459,11867,2570,13635,5320,8251,2883,5494,3116,5179,3094,5026,3306,4543,3534,4101,3910,3888,4712,4492,5707,5204,8061,5786,13747,2456,11206,1862,6525,1457,5697,1015,4624,271,1779,0,1,0,1,0,0,0,0
44409,3호선,68,독립문,139,2,4934,782,5005,5521,12714,11436,15794,17278,11709,10800,10358,9291,9808,8527,10612,8128,9927,8883,9817,8343,10266,8847,12010,9280,11827,11885,13513,14993,6207,11837,4288,6826,3332,6153,2437,5380,375,1980,0,1138,0,0,0,0,0,0
44409,3호선,69,경복궁(정부서울청사),47,1,2275,1574,4741,11678,11374,33969,16841,84281,15170,42517,12879,26724,14417,26534,16838,26751,19856,27540,22803,23544,29022,21023,35322,19740,52002,19625,83177,22895,32636,15052,25273,8196,23042,7427,10861,6257,1718,2299,1,66,0,0,0,0,0,0
44409,3호선,70,안국,30,0,1505,1366,2819,16807,5266,67105,7083,77716,6726,46703,7763,28140,11402,30023,16253,27795,17275,28578,21814,24308,29587,20128,37921,16805,76158,15431,86199,14447,33944,7393,25053,4252,19976,3617,10275,2824,1469,1233,0,15,0,0,0,0,0,0
44409,3호선,71,종로3가,9,0,505,945,916,5266,1405,13368,1914,38970,3084,39245,4558,26199,6839,20286,8853,19274,9588,17860,11044,17335,14102,14228,15881,11920,25718,10631,45343,9663,28591,4617,14840,1942,14846,1811,7676,1118,1332,687,3,55,0,1,0,0,0,0
44409,3호선,72,을지로3가,7,0,563,801,892,7402,1598,27568,2737,62197,3379,27020,4376,13171,6340,11604,7713,11230,8934,11255,11296,9401,12368,8834,15011,7986,33084,8358,56043,9128,22078,4262,13566,1883,12583,1411,7197,959,1144,551,0,42,1,1,0,0,0,0
44409,3호선,73,충무로,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,3,0,13,0,3,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44409,3호선,74,동대입구,17,2,1400,1141,2248,11338,4822,12421,6368,40339,5331,20220,4466,11537,5212,10126,6349,9445,7194,8810,8113,8031,10422,6548,14786,6916,30129,7227,27666,8753,12744,6012,8181,3449,9667,3909,7144,3149,1150,1241,2,141,0,0,0,0,0,0
44409,3호선,75,약수,117,4,5540,875,9093,5062,21295,11767,32153,29309,22575,18476,15980,12889,15420,12997,16948,13498,16354,13299,15141,14006,16305,15313,17398,18673,21316,23349,28405,34936,14548,22680,11342,14214,11069,13608,6891,11169,1313,3967,0,724,0,0,0,0,0,0
44409,3호선,76,금호,33,8,4269,487,8584,2476,21576,4281,28746,8190,18151,6467,12234,6337,10396,6350,10661,7135,9954,8294,8895,8476,8888,10444,8622,11913,9191,17636,9739,27538,6314,18642,4995,12185,4005,10368,2739,8856,511,2800,0,1,0,0,0,0,0,0
44409,3호선,77,옥수,271,22,2725,958,8088,4361,18516,7847,23904,12909,15723,10416,11922,8081,11026,9045,11465,10048,11921,11282,11333,10998,12170,12316,13549,14491,14252,19980,15369,29256,9604,21611,7589,13424,6793,11855,4553,10385,1040,3283,0,39,0,0,0,0,0,0
44409,3호선,78,압구정,44,0,2488,1906,6495,20898,12621,39481,18018,116615,16121,139283,19677,62990,25552,48549,29868,42756,32578,45746,38608,40450,46229,34305,56079,34941,78665,38734,115415,41517,83882,23303,64992,11261,48586,8710,27695,6732,2951,2241,5,499,0,0,0,0,0,0
44409,3호선,79,신사,17,4,2359,1441,4900,18639,8323,37899,14067,96332,11845,122905,15202,61076,20192,42591,23760,41630,26929,44427,33846,41203,41278,37051,50892,35101,77776,36970,119790,44892,81306,24129,53864,9698,59630,7839,32704,5884,3525,2519,1,71,0,1,0,0,0,0
44409,3호선,80,잠원,1,0,798,522,3794,4269,9150,6290,12343,9367,8220,6228,5733,4116,6023,4403,6471,4997,5976,5609,5487,4785,5874,5346,7281,5833,8873,8117,8059,11929,5127,8938,3518,4947,3681,4719,2458,5157,370,1310,1,3,1,2,0,0,0,0
44409,3호선,81,고속터미널,97,1,3897,3010,5805,25507,20602,38054,33804,58899,36822,79772,35680,65631,44726,69911,54292,67360,58777,68609,65198,68018,73064,68592,82591,67574,98654,71665,102097,82734,82384,51611,97789,29636,55012,21935,32355,14736,8075,5506,13,203,1,2,0,0,0,0
44409,3호선,82,교대(법원.검찰청),2,0,978,649,2691,5674,6532,17161,9730,40169,8350,29267,9445,13127,11672,9453,13165,8928,14974,8947,16999,8228,18721,7831,21702,7571,35378,8802,57610,11471,22970,6208,16726,3165,17719,2785,14670,2427,1337,997,0,5,0,0,0,0,0,0
