"행정구역","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_계_10~19세","2021년08월_계_20~29세","2021년08월_계_30~39세","2021년08월_계_40~49세","2021년08월_계_50~59세","2021년08월_계_60~69세","2021년08월_계_70~79세","2021년08월_계_80~89세","2021년08월_계_90~99세","2021년08월_계_100세 이상"
"서울특별시 강북구 번1동(1130559500)","18,513","18,513","625","1,034","3,190","2,658","2,777","3,071","2,702","1,719","663","73","1"
"서울특별시 강북구 번2동(1130560300)","15,988","15,988","626","1,014","2,173","1,725","2,286","2,708","2,702","1,958","722","72","2"
"서울특별시 강북구 번3동(1130560800)","17,036","17,036","890","1,268","1,850","1,658","2,491","2,781","2,717","2,454","840","84","3"
"서울특별시 강북구 수유1동(1130561500)","20,726","20,726","948","1,306","3,009","2,729","2,901","3,507","3,383","1,959","871","110","3"
"서울특별시 강북구 수유2동(1130562500)","21,365","21,365","1,017","1,384","2,934","2,503","2,997","3,727","3,484","2,143","1,044","131","1"
"서울특별시 강북구 수유3동(1130563500)","23,151","23,151","766","1,089","4,158","3,337","3,225","3,959","3,512","2,129","880","94","2"
"서울특별시 강북구 우이동(1130564500)","20,608","20,608","1,047","1,358","2,580","2,559","2,910","3,534","3,370","2,127","991","127","5"
"서울특별시 강북구 인수동(1130566000)","30,623","30,623","1,455","2,060","3,930","3,762","4,278","5,275","5,141","3,143","1,384","189","6"
"서울특별시 도봉구 (1132000000)","319,211","319,211","17,579","24,652","42,271","39,469","46,759","55,997","51,019","27,475","12,214","1,654","122"
"서울특별시 도봉구 창제1동(1132051100)","24,905","24,905","1,481","2,078","3,274","3,332","3,952","4,199","3,530","1,962","972","117","8"
"서울특별시 도봉구 창제2동(1132051200)","29,245","29,245","1,673","2,175","4,133","3,973","4,467","5,095","4,296","2,311","1,010","108","4"
"서울특별시 도봉구 창제3동(1132051300)","13,960","13,960","715","1,051","1,746","1,644","2,089","2,516","2,230","1,371","546","45","7"
"서울특별시 도봉구 창제4동(1132051400)","26,764","26,764","1,676","2,563","3,617","3,339","4,259","4,847","3,674","1,703","925","151","10"
"서울특별시 도봉구 창제5동(1132051500)","24,728","24,728","1,486","1,901","3,628","3,460","3,460","4,296","3,785","1,770","819","120","3"
"서울특별시 도봉구 도봉제1동(1132052100)","21,180","21,180","824","1,129","2,573","2,269","2,848","3,720","3,967","2,684","1,050","114","2"
"서울특별시 도봉구 도봉제2동(1132052200)","27,005","27,005","1,536","1,624","3,218","3,468","3,658","4,416","4,885","2,809","1,173","193","25"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,458","21,458","1,121","1,580","2,913","2,506","3,140","3,679","3,442","2,044","905","113","15"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,825","18,825","965","1,329","2,502","2,486","2,690","3,253","3,094","1,615","762","109","20"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,501","16,501","762","1,020","2,462","2,258","2,360","2,831","2,509","1,586","630","77","6"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,786","18,786","1,154","1,941","2,477","2,251","2,852","3,377","2,886","1,156","596","94","2"
